Title,ISBN,Publisher,Collection
A Kitchen on Goose Cove: Recipes from the Heart of Maine,9781648294075,HBG,American Regional
A Montreal Cook: Recipes and Reflections of My Kitchen,9781668061350,SSN,Good Reads
A Seat at the Table: Food and Feasting in the Islamic World,9788836661107,DAP,International and Ethnic Cookbooks
A Taste of Hong Kong: 70 Essential Recipes from Asia's World City,9783791391854,PRST,International and Ethnic Cookbooks
American Bacon: The History of a Food Phenomemon,9780820375403,UGA,American Regional
AMMAZZA! Culinary Adventure from New York to Italy and Back Again,9781668068717,SCR,Professional Chef and Restaurant Cookbooks
Beatrix Bakes: 15th Anniversary Edition,9781761452642,HGUS,Home Baking & Dessert Books
Bittersweet: The Five Tastes of Dessert and Beyond,9780063411418,HAR,Home Baking & Dessert Books
Cake from Lucie: Recipes and Techniques from the French Countryside to New York City,9780593799758,RDH,Home Baking & Dessert Books
"Cheese Trekking: How Microbes, Landscapes, Livestock, and Human Cultures Shape Terroir",9781645022985,CHGR,Food History and Scholarship
Cravan: Cocktails and More,9780847876495,RIZ,"Beverages, International and Ethnic Cookbooks"
Dryands: Spirits of the Trees,9780789215055,WWN,Beverages
Everyone Hot Pot: Creating the Ultimate Meal for Gathering and Feasting,9781648293801,WORA,Beverages
"Gather: Black Food, Nourishment, and the Art of Togetherness",9781324076469,WWN,Food History and Scholarship
"Get It While It's Hot: Gas Station, Roadside, and Convenience Cuisine in the U.S. South",9780807186206,LSU,American Regional
"Hello, Home Cooking: Do-Able Dishes for Every Day",9780593796573,RDH,Everyday Cooking
"Ice Cream Queen: Flavors from Black America's Past, Present, & Future",9780393881646,WWN,Home Baking & Dessert Books
Italian Cookies: Authentic Recipes and Sweet Stories from Every Region,9781423668466,GBSM,Home Baking & Dessert Books
Jacques Pepin Complete Techniques: 50th Anniversary Edition,9798894141800,WORB,Professional Chef and Restaurant Cookbooks
La Copine: New California Cooking from an Oasis in the Desert,9781419778223,ABR,Professional Chef and Restaurant Cookbooks
Lebanon: Cooking the Foods of My Homeland,9780063334922,HAR,International and Ethnic Cookbooks
"Modern Australian Baking: Sweet, Savoury, Seasonal, and Native",9781761450686,HGUS,Professional Baking and Pastry Cookbooks
Morning Baker: Recipes and Rituals for Breakfast and Beyond,9781324051350,WWN,Home Baking & Dessert Books
Nothing Matters but Delicious: A Radically Honest Cookbook,9781984863560,RDH,Professional Chef and Restaurant Cookbooks
"NYC Street Vendors: Food Trucks, Coffee Carts, Market Stalls, and More",9783791393728,PRST,Food History and Scholarship
"Odette: From Terroir to Table, Heart to Plate",9781837291090,PHAI,Professional Chef and Restaurant Cookbooks
On Taste: In Humans and Other Animals,9780231221290,UCOL,Food History and Scholarship
Paris Patisserie: 70 Recipes at the Heart of Parisian History,9780789344335,RIZ,Professional Baking and Pastry Cookbooks
Pierre Gagnaire: A Banquet of Nature,9782365681254,DAP,Professional Chef and Restaurant Cookbooks
Pimento Cheese: The Southern Spread,9780820374673,UGA,American Regional
Pitchfork Pulpit: Wisdom and Practice in a Self-Reliant Life,9781733686648,RIZ,Good Reads
Recipes for the Melting Pot: The Lives of the Settlement Cookbook,9780231224345,UCOL,Food History and Scholarship
"Soomaaliya: Food, Memory, and Migration",9781958417836,HGUS,International and Ethnic Cookbooks
Spinasse: An American Love Letter to Piemonte Cuisine,9781510786066,SKY,Professional Chef and Restaurant Cookbooks
"The Art of Frozen Desserts: Ice Cream, Sorbets, Cakes, Macarons, Popsicles, & More",9781962098380,SSN,Professional Baking and Pastry Cookbooks
The Caribbean Cookbook,9781837291724,PHAI,International and Ethnic Cookbooks
The Country House Dining Room: A History of Georgian Feasting,9780300276923,UYAL,Food History and Scholarship
The Country People: An Agricultural History of the American Revolution,9780820377193,UGA,Food History and Scholarship
The Diaspora Spice Cookbook,9780063277823,HAR,International and Ethnic Cookbooks
The Dining Room: Exploring the Design of Twelve Iconic Rooms in Search of the Perfect Dining Experience,9780525613428,RDH,Good Reads
"The Great Book of Chocolate, Revised",9780593836958,RDH,Home Baking & Dessert Books
The Lao Kitchen: Lao Flavors and Stories Told Through Lao Recipes,9780593836170,RDH,International and Ethnic Cookbooks
The Rise of Indian Food,9781837292035,PHAI,Professional Chef and Restaurant Cookbooks
"The Science of Baking: Everything You Need to Know to Create Perfect Sweet and Savory Bakes, Every Time",9780593961131,DORK,Home Baking & Dessert Books
The Taste of Country Cooking: 50th Anniversary Edition,9780593804957,RDH,American Regional
Vegetables the Italian Way: Turning Simple and Fresh into Extraordinary,9781648294679,WORA,International and Ethnic Cookbooks
Viennese Bakery: Classic Desserts from Vienna's Cafe Culture,9798217305797,DORK,Home Baking & Dessert Books
"Vitamina T: Your Daily Does of Tacos, Tortas, Tamales, and Other Mexican Street Food Classics",9780593800379,RDH,International and Ethnic Cookbooks
We Fancy: Simple Recipes to Make the Everyday Special,9781668012840,SSN,Everyday Cooking
