Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Binding (product.metafields.custom.binding),Canonical Handle (product.metafields.custom.canonical_handle),Inventory Log (product.metafields.custom.inventory_log),Language (product.metafields.custom.language),Location (product.metafields.custom.location),Non-Alcoholic (product.metafields.custom.non_alcoholic),Preorder Override Date (product.metafields.custom.preorder_override_date),Product Details (product.metafields.custom.product_details),Publication Date (product.metafields.custom.pub_date),Cuisine (product.metafields.custom.region),Reserve (product.metafields.custom.reserve),Shelf (product.metafields.custom.shelf),Specialization (product.metafields.custom.special),Special Diet (product.metafields.custom.special_diet),Spirits (product.metafields.custom.spirits),Wine (product.metafields.custom.wine),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Genre (product.metafields.shopify.genre),Headwear features (product.metafields.shopify.headwear-features),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Medium (product.metafields.shopify.medium),Publication frequency (product.metafields.shopify.publication-frequency),Signature placement (product.metafields.shopify.signature-placement),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yakiba-grilling-techniques-shio-yaki-furishio-yaki-yuan-yaki-tare-yaki-and-yakitori,"Yakiba Grilling Techniques: Shio-yaki, Furishio-yaki, Yuan-yaki, Tare-yaki, and Yakitori","<p data-start=""0"" data-end=""440"">Grilling in Japanese cuisine is anything but casual. <em data-start=""53"" data-end=""81"">Yakiba Grilling Techniques</em>, the fifth volume in the Japanese Culinary Academy Series, offers a deep, methodical look at a category of cooking that is rarely covered in such detail in English. What might appear simple—grilled fish, skewered chicken—emerges here as a highly controlled and deliberate process, shaped by centuries of technique and an emphasis on subtle, precise outcomes.</p>
<p data-start=""442"" data-end=""817"">The book begins with an overview of heat itself: how different temperatures, distances, and timing affect ingredients; how salt or marinades used in advance alter both chemistry and flavor; and how small adjustments in preparation can produce dramatically different textures and results. The goal isn’t just to follow a method, but to understand what each choice contributes.</p>
<p data-start=""819"" data-end=""1297"">Four core yakiba techniques (<em data-start=""847"" data-end=""858"">shio-yaki</em>, <em data-start=""860"" data-end=""875"">furishio-yaki</em>, <em data-start=""877"" data-end=""888"">yuan-yaki</em>, and <em data-start=""894"" data-end=""905"">tare-yaki)</em>are presented with clarity and repetition, using step-by-step photo sequences that include time stamps. These help to show, for example, how sea bass requires just under three minutes of cooking, while yellowtail or chicken thighs take significantly longer. These differences aren’t incidental; they’re essential to producing the desired flavor, moisture, and appearance for each ingredient.</p>
<p data-start=""1299"" data-end=""1647"">Beyond fish and poultry, the book also covers skewering techniques for <em data-start=""1370"" data-end=""1380"">yakitori</em>, instructions for using both traditional and electric grills, and recipes for more than 40 grilled dishes. As with the other volumes in the series, the photography is highly structured and precise—clearly documenting not just outcomes but the techniques behind them.</p>
<p data-start=""1649"" data-end=""1874"">This is a rare and focused resource for cooks looking to understand Japanese grilling on its own terms, not as an adaptation of Western barbecue traditions, but as a craft rooted in balance, restraint, and attention to detail.</p>
<p>Hardcover. Color photographs throughout.</p>
<p>Also in this series:</p>
<p><a href=""https://www.kitchenartsandletters.com/products/introduction-to-japanese-cuisine-nature-history-and-culture"">Introduction to Japanese Cuisine: Nature, History and Culture</a></p>
<p><a href=""https://www.kitchenartsandletters.com/products/flavoring-and-seasoning"">Flavoring and Seasoning: Dashi, Umami, and Fermented Foods</a></p>
<p><a href=""https://www.kitchenartsandletters.com/products/mukoita-i-cutting-techniques-fish"">Mukoita I, Cutting Techniques: Fish</a> </p>
<p><a href=""https://www.kitchenartsandletters.com/products/mukoita-ii-cutting-techniques-seafood-poultry-and-vegetables"">Mukoita II, Cutting Techniques: Seafood, Poultry &amp; Vegetables</a></p>",RDH,Media > Books > Print Books,BOOK,"10-28-2025, C, Fall 2025, Ln_En, preorder",true,Title,Default Title,,,,,,,,Japanese Culinary Academy,1814.36948,shopify,deny,manual,75.00,,true,true,,,,,'9784911188101,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9784911188101_1_3bc965cc-1191-4484-88da-e007ecef64e4.jpg?v=1749569655,1,"Book Cover: Yakiba Grilling Techniques: Shio-yaki, Furishio-yaki, Yuan-yaki, Tare-yaki, and Yakitori",false,"Yakiba Grilling Techniques: Shio-yaki, Furishio-yaki, Yuan-yaki, Tare-yaki, and Yakitori | Kitchen Arts & Letters","Master Japanese grilling! Yakiba unlocks the science behind flavor, revealing techniques for perfect fish, yakitori & more.",543543,,,,,,,,,,,Japanese Culinary Academy,Hardcover,,,English,,,,,'2025-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,active
yakiba-grilling-techniques-shio-yaki-furishio-yaki-yuan-yaki-tare-yaki-and-yakitori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9784911188101_2_fd16f02b-2fa4-4f3e-9291-6815edcdf327.jpg?v=1749569655,2,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yakiba-grilling-techniques-shio-yaki-furishio-yaki-yuan-yaki-tare-yaki-and-yakitori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9784911188101_3_ef6e6668-a5db-456e-95f1-5b55e435953d.jpg?v=1749569655,3,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yakiba-grilling-techniques-shio-yaki-furishio-yaki-yuan-yaki-tare-yaki-and-yakitori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9784911188101_4_42ca5c45-4262-4eb3-81c9-3719080b1f7f.jpg?v=1749569655,4,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yakiba-grilling-techniques-shio-yaki-furishio-yaki-yuan-yaki-tare-yaki-and-yakitori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9784911188101_5_37bafb7c-5661-47b6-a519-7e4ac6491d6b.jpg?v=1749569655,5,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what-to-eat-now,"What to Eat Now: The Indispensable Guide to Good Food, How to Find It, and Why It Matters","<p><strong>For a limited time we have copies signed by Marion Nestle.</strong></p>
<p data-start=""449"" data-end=""792"">Marion Nestle is one of the leading public voices on food, nutrition, and policy in the United States. A longtime professor of nutrition, food studies, and public health at NYU, and a three-time James Beard Award winner, she has spent decades helping consumers make sense of what they eat, without pretending that the answers are always simple.</p>
<p data-start=""794"" data-end=""1290""><em data-start=""794"" data-end=""811"">What to Eat Now</em> is a major revision of her 2006 book <em data-start=""849"" data-end=""862"">What to Eat</em>. At more than 700 pages, it is expansive but never bloated. Nestle guides readers through the supermarket aisle by aisle, helping us understand labeling, recognize competing priorities, and cut through the fog of overwhelming but unhelpful information.</p>
<p data-start=""1292"" data-end=""1714"">Crucially, she doesn’t oversimplify. When evidence is incomplete or contradictory, Nestle says so. She acknowledges ethical and environmental tensions, and she makes space for informed disagreement. That clarity—both intellectual and stylistic—makes this book a powerful example of public health writing at its best: transparent, accessible, and deeply grounded in science without losing sight of pleasure or common sense.</p>
<p>Hardcover. 720 pages.</p>",FSG,Media > Books > Print Books,BOOK,"11-11-2025, C, Fall 2025, Ln_En, preorder, signed",true,Title,Default Title,,,,,,,,Marion Nestle,1814.36948,shopify,continue,manual,35.00,,true,true,,,,,'9780374608699,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780374608699_1_5604d05e-41dd-4501-858b-f2809fcaabbd.jpg?v=1749569648,1,"Book Cover: What to Eat Now: The Indispensable Guide to Good Food, How to Find It, and Why It Matters",false,What to Eat Now | Kitchen Arts & Letters,"Nutrition expert Marion Nestle guides healthy food choices, revealing supermarket secrets and empowering mindful, sustainable eating.",543543,,,,,,,,,,,Marion Nestle,Hardcover,,,English,,,,,'2025-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,active
what-to-eat-now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780374608699_3_6621b4ed-bb7e-4370-a235-87d4d6fa6121.jpg?v=1749569648,2,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what-to-eat-now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780374608699_4_f8f4418f-f49f-43bb-bbb9-6a01b3f4bb4b.jpg?v=1749569648,3,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what-to-eat-now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780374608699_5_7302e8c3-ae03-4911-bf11-d10521f76580.jpg?v=1749569648,4,Presentation Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle-island,Turtle Island: Foods and Traditions of the Indigenous Peoples of North America,"<p data-start=""401"" data-end=""855"">At once a culinary document and cultural history, <em data-start=""451"" data-end=""466"">Turtle Island</em> is Sean Sherman’s most ambitious work to date—an expansive and deeply researched exploration of the Indigenous food traditions of North America. Spanning the Arctic, the Great Plains, the Eastern Woodlands, the Pacific Coast, the Mesoamerican highlands, and more, Sherman charts a continent of foodways shaped by diverse ecosystems and centuries of continuity, innovation, and resilience.</p>
<p data-start=""857"" data-end=""1078"">Organized by region, the book introduces the ingredients, techniques, and community knowledge that define each area, before presenting recipes that reflect both ancestral practices and contemporary expression. Among them:</p>
<ul data-start=""1080"" data-end=""1287"">
<li data-start=""1080"" data-end=""1103"">
<p data-start=""1082"" data-end=""1103"">Smoked bison ribeye</p>
</li>
<li data-start=""1104"" data-end=""1139"">
<p data-start=""1106"" data-end=""1139"">Wild rice–crusted walleye cakes</p>
</li>
<li data-start=""1140"" data-end=""1176"">
<p data-start=""1142"" data-end=""1176"">Corn tamales with heirloom beans</p>
</li>
<li data-start=""1177"" data-end=""1206"">
<p data-start=""1179"" data-end=""1206"">Quail with plum and sumac</p>
</li>
<li data-start=""1207"" data-end=""1235"">
<p data-start=""1209"" data-end=""1235"">Sunflower seed “risotto”</p>
</li>
<li data-start=""1236"" data-end=""1287"">
<p data-start=""1238"" data-end=""1287"">Dandelion bud capers and manzanita berry powder</p>
</li>
</ul>
<p data-start=""1289"" data-end=""1634"">What sets <em data-start=""1299"" data-end=""1314"">Turtle Island</em> apart is the balance it strikes between practical cooking and cultural context. Over more than 400 pages, Sherman—Oglala Lakota chef and founder of The Sioux Chef—combines lived experience with rigorous scholarship, honoring the continuity of Indigenous food knowledge while acknowledging the disruption of colonialism.</p>
<p data-start=""1636"" data-end=""1852"">The book’s reach is broad, but its impact is often found in careful attention to specific people and places: foragers, seed keepers, cooks, and growers who continue to shape Native food cultures across the continent.</p>
<p data-start=""1854"" data-end=""2023"">This is a significant and beautiful volume, for anyone interested in food history, Indigenous culture, or a more grounded and complete understanding of American cuisine.</p>
<p data-start=""1854"" data-end=""2023"">Hardcover. Color photographs throughout.</p>",CWN,Media > Books > Print Books,BOOK,"11-11-2025, C, Fall 2025, Ln_En, preorder",true,Title,Default Title,,,,,,,,Sean Sherman with Kate Nelson and Kristin Donnelly,1814.36948,shopify,continue,manual,45.00,,true,true,,,,,'9780593579237,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780593579237_1_534ca5bb-5d18-4882-ae1d-ba8aacd3f407.jpg?v=1749569640,1,Book Cover: Turtle Island,false,Turtle Island | Kitchen Arts & Letters,"Sean Sherman's Turtle Island explores ancestral & modern Indigenous recipes, revealing North America's rich Native foodways & culinary heritage.",543543,,,,,,,,,,,Sean Sherman with Kate Nelson and Kristin Donnelly,Hardcover,,,English,,,,,'2025-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,active
