Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Binding (product.metafields.custom.binding),Canonical Handle (product.metafields.custom.canonical_handle),Inventory Log (product.metafields.custom.inventory_log),Language (product.metafields.custom.language),Location (product.metafields.custom.location),Non-Alcoholic (product.metafields.custom.non_alcoholic),Preorder Override Date (product.metafields.custom.preorder_override_date),Product Details (product.metafields.custom.product_details),Publication Date (product.metafields.custom.pub_date),Cuisine (product.metafields.custom.region),Reserve (product.metafields.custom.reserve),Shelf (product.metafields.custom.shelf),Specialization (product.metafields.custom.special),Special Diet (product.metafields.custom.special_diet),Spirits (product.metafields.custom.spirits),Wine (product.metafields.custom.wine),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Genre (product.metafields.shopify.genre),Headwear features (product.metafields.shopify.headwear-features),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Medium (product.metafields.shopify.medium),Publication frequency (product.metafields.shopify.publication-frequency),Signature placement (product.metafields.shopify.signature-placement),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
a-kitchen-on-goose-cove,A Kitchen on Goose Cove:: Recipes from the Heart of Maine,"<p><b>This is a *Featured Preorder for a title releasing on May 19, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<b>A love letter of a cookbook that captures the allure of Maine and its iconic food and bounty of ingredients, from Devin Finigan,&nbsp;chef-owner of Aragosta, named one of&nbsp;<i>Food + Wine</i>’s best restaurants in 2024 and 2025.</b><br><br> There is an allure to Maine that captures the imagination of so many: it’s a longing for a simpler pace of life, it’s the idyllic small towns, village greens, seaside vistas, and an endless coastline. With Maine’s pristine seafood and seasonal fruits, produce, and grains, Maine is also a magical place to cook. From a kitchen on a rugged coastline in Deer Isle, Maine, chef Devin Finigan uses Maine’s iconic ingredients—from lobster and clams to honey and fiddleheads—to make incredible meals. Her Lobster Rolls, Scallops with Wild Ramp Sauce, Mussel Chowder, Duck Breast with Peach Sauce, Tomato Galette, and Whoopie Pies draw thousands of visitors each year who book tables months in advance to dine at her restaurant Aragosta, which was named the #2 best restaurant in the U.S. by <i>Food &amp; Wine</i>. Finigan’s first book captures everything about Maine that makes it the destination that 37 million people choose to visit each year. With 75 recipes for classic Maine dishes and new spins on old favorites, plus 100 gorgeous photos, this will be&nbsp;<i>the&nbsp;</i>Maine cookbook to transport fans, foodies, and tourists alike to this unspoiled region.&nbsp;The foreword will be written by Erin French, chef and bestselling author of&nbsp;<i>The Lost Kitchen</i>.&nbsp;
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",HBG,Media > Books > Print Books,BOOK,"Ln_En, 05-19-2026, C",FALSE,Title,Default,,,,,,,,Devin Finigan with Peter Kaminsky,2268,shopify,continue,manual,35.00,,TRUE,TRUE,,,,,9781648294075,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781648294075.jpg,1,Book Cover: A Kitchen on Goose Cove,,A Kitchen on Goose Cove,,Media > Books,,,,new,FALSE,,,,,,Devin Finigan with Peter Kaminsky,Hardcover,a-kitchen-on-goose-cove,,English,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
a-kitchen-on-goose-cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781648294075-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-kitchen-on-goose-cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781648294075-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-kitchen-on-goose-cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781648294075-3.jpg,4,Interior image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-kitchen-on-goose-cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781648294075-4.jpg,5,Interior image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-kitchen-on-goose-cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781648294075-5.jpg,6,Interior image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-montreal-cook,A Montreal Cook:: Recipes and Reflections from My Kitchen,"<p><b>This is a *Featured Preorder for a title releasing on March 24, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<b>Taste Canada gold medal award winner Lesley Chesterman shares more than 90 stunning recipes to reveal the best of Montreal, one of North America’s most vibrant, diverse, and delicious food cities.</b><br><br>Take a culinary journey through Montreal with award-winning chef, author, and food critic Lesley Chesterman.<br> <br>Start your day with irresistible breakfast and brunch options like Bostok, a French bakery classic where almond croissants meet French Toast. Tour the city’s vibrant market culture and follow Chesterman through traditions like apéro hour and après-ski. You’ll discover the ins and outs of entertaining Montreal-style, with multicultural offerings that reflect the city’s vibrant spirit and classic Quebecois dishes that are both accessible and irresistible.<br> <br>Through luscious photos, witty notes, and over 90 soulful and easy-to-follow recipes, Chesterman explores Montreal’s unique influence on her life as one of Quebec’s most beloved chefs and restaurant critics, all with the spirit of a friend chatting across the kitchen table.<br> <br>With an added list of her own personal city favorites—from bistros and wine bars to bakeries and cheesemongers—<i>A Montreal Chef</i> is both deeply personal and warmly welcoming, transporting readers and home cooks directly to the unique city of Montreal and its unforgettable cuisine.</div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",SSN,Media > Books > Print Books,BOOK,"Ln_En, 03-24-2026, C",FALSE,Title,Default,,,,,,,,Lesley Chesterman,2268,shopify,continue,manual,33.00,,TRUE,TRUE,,,,,9781668061350,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668061350.jpg,1,Book Cover: A Montreal Cook,,A Montreal Cook,,Media > Books,,,,new,FALSE,,,,,,Lesley Chesterman,Hardcover,a-montreal-cook,,English,,,,,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
a-seat-at-the-table,A Seat at the Table:: Food and Feasting in the Islamic World,"<p><b>This is a *Featured Preorder for a title releasing on March 31, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<p><b>A banquet of culinary traditions from disparate Islamic cultures and communities across history</b></p></div><div><p><b>Published with Qatar Museums.</b><br><br>Exploring culinary traditions from the emergence of Islam to the present day, <i>A Seat at the Table: Food and Feasting in the Islamic World</i> highlights key historical developments, contemporary challenges and the impact of trade on food. Distinct from previous publications on the topic, the primer expands its lens beyond elitist contexts, considering dining as a living practice that unites disparate Islamic cultures and communities.<br><i>A Seat at the Table</i> compiles concise, well researched essays on wide-ranging topics—from the significance of bread making and glazed ceramic dining sets to the implications of agricultural innovations and dining etiquette on courtly culture. Following the essays is an exhibition album that displays and explicates the function of over 100 objects sourced from the collection of the Museum of Islamic Art and other Qatar-based institutions such as the Qatar National Library.</p></div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",DAP,Media > Books > Print Books,BOOK,"Ln_En, 03-31-2026, P",FALSE,Title,Default,,,,,,,,"Nicoletta Fazio (Text by), Teslim Sanni (Text by)",2268,shopify,continue,manual,40.00,,TRUE,TRUE,,,,,9788836661107,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9788836661107.jpg,1,Book Cover: A Seat at the Table,,A Seat at the Table,,Media > Books,,,,new,FALSE,,,,,,"Nicoletta Fazio (Text by), Teslim Sanni (Text by)",Paperback,a-seat-at-the-table,,English,,,,,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
a-seat-at-the-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9788836661107-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-seat-at-the-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9788836661107-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
